Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
267.2315175000004,1135,,,,0.0142578125,0.02099609375,-0.985546875,-0.08311692757016784,-0.23392112139866544,23.998555947254154,-3.854386881582171,0,0,92.49971936056889,0,0,0,0,0.5390625,,
273.27524300000044,1180,,,,0.00966796875,0.0138671875,-1.00078125,-0.11810148742740315,-0.34569238456245466,23.97684262191001,-3.298864463042939,0,0,79.09635658254936,0,0,0,0,0.51748046875,,
279.33666275000024,1225,,,,0.02021484375,0.0361328125,-0.989453125,-0.1547483261871791,-0.5111392023055148,23.942560733160963,-2.499598468704379,0,0,59.846787136220584,0,0,0,0,0.507421875,,
285.32692000000026,1270,,,,-0.012109375,0.06328125,-1.03212890625,-0.21108211275529118,-0.7151294960582082,23.89653942782022,-1.3746824793691503,0,0,32.850155772652585,0,0,0,0,0.5388671875,,
291.36224075000035,1315,,,,0.0193359375,0.01357421875,-0.99677734375,-0.26751082615997124,-0.9108500580854539,23.83776122336625,0.08708736795754239,0,0,2.075941006909944,0,0,0,0,0.90810546875,,
297.3981267500002,1360,,,,0.0251953125,0.01591796875,-1.0103515625,-0.3319791117268817,-1.128256829198444,23.762239796868197,1.9206918784299891,0,0,45.63991239093758,0,0,0,0,1.01025390625,,
303.4395390000003,1405,,,,0.008203125,0.03408203125,-1.00185546875,-0.41843326826220145,-1.4342747600102614,23.65083614036002,4.428996546329255,0,0,104.74946463844385,0,0,0,0,1.25068359375,,
309.4471185000003,1450,,,,-0.00634765625,0.04384765625,-0.90576171875,-0.5025290289646495,-1.7056231113748574,23.526920985056485,7.271042437164665,0,0,171.06516657986316,0,0,0,0,2.1556640625,,
315.4551672500002,1495,,,,-0.033203125,0.06728515625,-0.96513671875,-0.5936313118652191,-2.0066959957100776,23.375988763421923,10.565723578337826,0,0,246.98426355847454,0,0,0,0,2.21884765625,,
321.61188700000054,1540,,,,-0.01728515625,0.03115234375,-0.99833984375,-0.6880893776535364,-2.32746530631506,23.193324115415738,14.518328072265444,0,0,336.72810575573595,0,0,0,0,1.79306640625,,
327.69595200000026,1585,,,,0.05771484375,-0.04296875,-1.0298828125,-0.773762014815551,-2.594904706448164,23.003499712830322,18.428473241344868,0,0,423.9193347138904,0,0,0,0,1.82138671875,,
333.7305992500004,1630,,,,0.019140625,-0.015234375,-0.87109375,-0.853693597853281,-2.8117254250965846,22.82828863401395,22.39969572784384,0,0,511.3465955978798,0,0,0,0,1.895703125,,
339.7628902500004,1675,,,,0.0125,0.0169921875,-0.37265625,-0.934180820686531,-3.0729727587018836,22.648176317805255,26.82253297911687,0,0,607.4815597395161,0,0,0,0,2.14873046875,,
345.8375387500001,1720,,,,0.0755859375,0.0529296875,-0.42529296875,-1.0424562369427224,-3.3956853046683144,22.51059581190596,32.44096204666786,0,0,730.265554801387,0,0,0,0,1.762109375,,
351.8339577500003,1765,,,,0.0171875,0.084375,-0.86513671875,-1.1433321801567695,-3.7444307974433473,22.295341885792023,38.436652391187586,0,0,856.9585418616031,0,0,0,0,1.68515625,,
357.9724177500003,1810,,,,-0.0201171875,0.03056640625,-0.8904296875,-1.2004723590410231,-3.902880442270908,22.160798626386285,42.52495086102333,0,0,942.3868516110326,0,0,0,0,1.978515625,,
364.1408770000003,1855,,,,-0.00859375,-0.03173828125,-0.695703125,-1.2671159516639974,-4.1048112135720345,21.99260456887415,47.36978925318879,0,0,1041.7853113766564,0,0,0,0,1.88037109375,,
370.3607922500003,1900,,,,-0.050390625,-0.0173828125,-0.66787109375,-1.271489015260974,-4.118374475244652,21.952684876753544,47.31193644950242,0,0,1038.6239778277954,0,0,0,0,1.84912109375,,
376.40271875000025,1900,,,,-0.04462890625,-0.04443359375,-0.36279296875,-1.2680337450733634,-4.12441784907876,21.88567295156546,47.22963416580252,0,0,1033.6515127969035,0,0,0,0,2.0390625,,
382.47590700000023,1855,,,,0.00185546875,-0.0205078125,-0.4193359375,-1.2642142534543386,-4.109009407086212,21.873242909151184,47.23644782780607,0,0,1033.2153580383138,0,0,0,0,1.9060546875,,
388.49968500000017,1810,,,,0.29501953125,-0.3828125,-0.5095703125,-1.1987218839721752,-3.911421658754243,21.96784050184414,42.60547310382546,0,0,935.9491858454567,0,0,0,0,2.0857421875,,
394.64998500000036,1765,,,,0.0130859375,-0.00927734375,-0.70556640625,-1.1249150753382833,-3.647192753961219,22.12333713085081,37.67573179147845,0,0,833.5128039952364,0,0,0,0,1.5521484375,,
400.85654575000024,1720,,,,0.02353515625,-0.04599609375,-0.30458984375,-1.0436982702088637,-3.4211830716988345,22.202706915523727,32.47881822024449,0,0,721.1177237271116,0,0,0,0,1.90576171875,,
406.98814325000035,1675,,,,-0.02109375,0.01357421875,-0.79833984375,-0.9416970751335523,-3.107238978677708,22.35767635376674,27.062732594339355,0,0,605.059882441404,0,0,0,0,2.00458984375,,
